Industry
"Nonferrous wiredrawing and insulating,nsk"
Optical goods stores
"Animal aquaculture, nsk"
"Chocolate and cocoa products, nsk"
Foreign bank and branches and agencies
"Fertilizers, mixing only"
"Office machines, nec, nsk"
"Steel foundries, nec, nsk"
Nondeposit trust facilities
Mfg industrial machinery
Retail bakeries
"Crude petroleum and natural gas, nsk"
"Security brokers and dealers, nsk"
Photofinish laboratories
"Meats and meat products, nsk"
"Farm product warehousing and storage, nsk"
Ball and roller bearings
"Frozen fruits and vegetables, nsk"
Current-carrying wiring devices
Bridal shops
Children's toys and games except dolls
Labor union
Department store
Cabinet building and installation
Civic/social association
Liquid petroleum transport non-local
"Dental laboratories, nsk"
Childrens and infants wear stores
"Household appliance stores, nsk"
Fresh or frozen packaged fish
"Space propulsion units and parts, nsk"
"Prepared feeds, nec, nsk"
"Savings institutions, except federal, nsk"
Knitting mill
Petroleum refinery inspection service
Health club
Professional organizations
Fish and seafoods
Finishing of cotton broadwoven fabrics
Bus terminal and service facilities
Irish potatoes
"Merchandising machine operators, nsk"
Blowers and fans
"Transportation equipment and supplies, ns"
Fast food restaurants and stands
"Gypsum products, nsk"
"Bridge, tunnel, and elevated highway, nsk"
"Flat glass, nsk"
Mfg bread/related products
Membership-basis organization hotels
"Cheese; natural and processed, nsk"
Single-family house construction
"Miscellaneous general merchandise stores,"
Tax return preparation services
"Power laundries, family and commercial"
"Adhesives and sealants, nsk"
Luggage
Accident and health insurance
Deep sea foreign transportation of freght
"Land, mineral, and wildlife conservation,"
Cabinet work custom
Eating places
"Misc. business credit institutions,nsk"
"Poultry and eggs, nec, nsk"
"Plastics materials or resins, nec"
"Flavoring extracts and syrups, nec"
Crude petroleum pipelines
"Farm labor contractors, nsk"
Dairy farm
Mfg candy/confectionery
National security
Local bus charter service
"Bituminous coal and lignite-surface, nsk"
Inspection and fixed facilities
"Copper foundries, nsk"
Convenience stores chain
"Chemical preparations, nec, nsk"
"Automobile parking, nsk"
"Holding companies, nec, nsk"
"Detective and armored car services, nsk"
"Sporting and athletic goods, nec"
"Transportation equipment and supplies,nsk"
"Chemical and fertilizer mining, nec, nsk"
"Management investment, open-end, nec"
"Airports, flying fields, and services"
"Public relations services, nsk"
"Apartment building operators, nsk"
"Fish hatcheries and preserves, nsk"
"Flour and other grain mill products, nsk"
"Space research and technology, nsk"
"Paper; coated and laminated, nec"
Chewing and smoking tobacco
Lawn and garden equipment
Air cargo carrier scheduled
Oil/gas field services
Service establishment equipment
"Fluid meters and counting devices, nsk"
Sanitary paper products
Nonwoven fabrics
"Speed changers, drives, and gears"
Cookware except aluminum
Mfg electronic components
Berry crops
"General government, nec, nsk"
"Lubricating oils and greases, nsk"
Industrial sand
"Potash, soda, and borate minerals, nsk"
Motels
Balloon shops
5023
Tugboat service
"Womens and misses outerwear, nec"
"Analytical instruments, nsk"
Prefabricated wood buildings
Aluminum extruded products
Weft knit fabric mills
